doc,pages_total,text_layer_pages,image_scan_pages,corrupt_flags
aafd_af_4_2025.pdf,1,0,1,1
aafdf5_2024_cons_rus.pdf,1,0,1,1
aira_af_4_2025.pdf,1,0,1,1
airap_2024_rus.pdf,1,0,1,1
bastp_2024_rus.pdf,1,0,1,1
brkz_af_4_2025.pdf,1,0,1,1
brkzf6_2024_cons_rus.pdf,1,0,1,1
bsul_af_4_2025.pdf,1,0,1,1
bsulp_2024_rus.pdf,1,0,1,1
fatn_af_4_2025.pdf,1,0,1,1
fatnp_2024_rus.pdf,1,0,1,1
fpst_af_4_2025.pdf,1,0,1,1
fpstp_2024_rus.pdf,1,0,1,1
kztk_af_4_2025.pdf,1,0,1,1
kztkf5m1_2025_cons_rus_pdf.pdf,1,0,1,1
kztkp_2024_rus.pdf,1,0,1,1
matnp_2024_rus.pdf,1,0,1,1
oasi_af_4_2025.pdf,1,0,1,1
oasif6_2024_rus.pdf,1,0,1,1
raht_af_4_2025.pdf,1,0,1,1
rahtp_2024_rus.pdf,1,0,1,1
tcib_af_4_2025.pdf,1,0,1,1
tcibp_2024_rus.pdf,1,0,1,1
tcom_af_4_2025.pdf,1,0,1,1
tmjl_2024_rus.pdf,1,0,1,1
tmjl_af_1_2025.pdf,1,0,1,1
tmjlf6_2024_cons_rus.pdf,1,0,1,1
